folder_name;num_varroa_mites_folder;threshold;num_images;name_images
Stade 1;11;0.10;1;IMG_2391.jpg
Stade 3;0;0.10;1;IMG_2390.jpg
Stade 5;15;0.10;1;IMG_2389.jpg
Stade 6;0;0.10;1;IMG_2388.jpg
